"id","merchant","title","beforeGrade","afterGrade","note","source","lastChecked","serviceTimes"
"PD-2026-0019","Rundle Mall","Free Rundle Reflections exhibition","C","C","Exhibition spread across venues; cannot infer one service window from mall header hours.","https://www.rundlemall.com/rundle-reflections/","2026-09-10 08:55:26.62241+00","Not confirmed"
"PD-2026-0009","South Australian Museum","Free museum entry","A","A","Existing checked general museum hours; no re-verification timestamp invented from homepage fetch.","https://www.samuseum.sa.gov.au/","2026-09-10 08:55:26.62241+00","Daily · 10am–5pm"
"PD-2026-0075","Stella Restaurant","BUY ONE MAIN, GET ONE FREE — TONIGHT","D","D","Removed TONIGHT. Stored Saturday extension conflicts with official winter Mon–Sat offer; expiry/service need confirmation.","https://stellarestaurant.com.au/promotions-deals/","2026-09-12 02:00:17.634289+00","Not confirmed"
"PD-2026-0056","The Reserve Social","$20 schnitzels on Mondays","B","B","Monday special supported by current official menu; service times not supplied.","https://thereservesocial.com.au/menu","2026-09-10 08:55:26.62241+00","Not confirmed"
"PD-2026-0059","The Woodville Hotel","Kids eat free on Monday nights","B","B","Monday kids offer and main-meal/public-holiday conditions supported; bistro times unknown.","https://woodvillehotel.com.au/","2026-09-10 08:55:26.62241+00","Not confirmed"
"UNION-HOTEL-LUNCH-20-OFF","Union Hotel","20% OFF LUNCH ONLY","A","A","Merchant-approved lunch terms preserved; eligibility also requires a matching live session and capacity.","https://www.theunionhotel.com.au/eat","2026-09-07 20:56:58.862584+00","Mon–Thu lunch · 11:30am–2:30pm"
"PD-2026-0001","Bunnings Warehouse","Free Kids D.I.Y. workshops","C","C","National participating-store workshops require individual booking slots; no national service window.","https://www.bunnings.com.au/services/in-store/kids-activities","2026-08-25 14:30:00+00","Not confirmed"
"PD-2026-0032","Brisbane Botanic Gardens Mt Coot-tha","Free guided Botanic Gardens walks","D","D","Stored official council source returns 410. Needs replacement session evidence.","https://www.brisbane.qld.gov.au/events/free-guided-tour-brisbane-botanic-gardens-mt-coot-tha/194730892","2026-08-26 14:30:00+00","Not confirmed"
"PD-2026-0028","Brisbane Festival","Verso Projects Festival Village — free South Bank precinct","C","C","Festival date range is supported; precinct/program times vary.","https://www.brisbane.qld.gov.au/events/verso-projects-festival-village-south-bank/206647176","2026-09-10 14:27:09.538612+00","Not confirmed"
"PD-2026-0031","Museum of Brisbane","Free Brisbane City Hall Clock Tower Tour","B","A","Replaced obsolete 410 council link with current Museum of Brisbane tour source.","https://www.museumofbrisbane.com.au/whats-on/clock-tower-tours/","2026-09-14T09:42:52Z","Daily · tours 10:15am–4:45pm"
"PD-2026-0004","QAGOMA","Free gallery entry","C","C","Current source blocks automated fetch; general entry plausible but service time remains unconfirmed.","https://www.qagoma.qld.gov.au/visit/","2026-08-25 14:30:00+00","Not confirmed"
"PD-2026-0066","Sculptors Queensland / Brisbane City Council","Brisbane Sculpture Festival — outdoor sculpture trail","D","D","Official session source returns 410; do not prominently promote.","https://www.brisbane.qld.gov.au/events/brisbane-sculpture-festival/204186505","2026-09-10 14:27:09.538612+00","Not confirmed"
"PD-2026-0070","Floriade","Floriade 2026 — Feast of Flowers","C","C","Event dates supported; source now says times not specified, so no confirmed service window.","https://events.canberra.com.au/whats-on/69ba3c58a681d70f285e8f9d/floriade-2026","2026-09-10 14:27:09.538612+00","Not confirmed"
"PD-2026-0011","National Gallery of Australia","Free National Gallery and gardens","B","B","Existing dated general-entry evidence; current source fetch blocked, retain last check unchanged.","https://nga.gov.au/visit/","2026-08-25 14:30:00+00","Not confirmed"
"PD-2026-0069","Darwin International Film Festival","Darwin International Film Festival 2026","C","C","Festival includes individually ticketed sessions; no general availability assertion.","https://www.darwin.nt.gov.au/explore/whats-on/darwin-international-film-festival","2026-09-10 14:27:09.538612+00","Not confirmed"
"PD-2026-0013","Darwin Waterfront","Free saltwater recreation lagoon and beach","C","C","Free lagoon subject to daily safety/lifeguard conditions; not equivalent to open now.","https://www.waterfront.nt.gov.au/the-beach","2026-08-25 14:30:00+00","Not confirmed"
"PD-2026-0039","Hindu Society of the Northern Territory","Darwin Hindu Temple Festival — free community festival","C","C","Event ends today; programme/service times not sufficiently clear.","https://www.darwin.nt.gov.au/explore/whats-on/darwin-hindu-temple-festival","2026-08-26 14:30:00+00","Not confirmed"
"PD-2026-0014","HOTA Gallery","Free Quiet Hour at HOTA Gallery","A","A","Explicit first-Saturday 9–10am sessions, encoded as dates rather than every Saturday.","https://hota.com.au/events/quiet-hour","2026-09-14T09:35:29.323Z","First Saturday monthly · 9–10am"
"PD-2026-0060","SWELL Sculpture Festival","SWELL Sculpture Festival 2026 — free Currumbin Beach exhibition","D","D","Stored official offer page returns 404; replacement programme/time evidence required.","https://www.swellsculpture.com.au/2026/swell-sculpture-festival-2026-currumbin-beach-free/","2026-08-26 14:30:00+00","Not confirmed"
"PD-2026-0012","Tasmanian Museum and Art Gallery","Free museum and gallery entry","C","C","Seasonal opening schedule absent; current source fetch blocked.","https://www.tmag.tas.gov.au/visit","2026-08-25 14:30:00+00","Not confirmed"
"PD-2026-0027","Fed Square","RESET — free sustainability festival","C","C","Festival consists of discrete dates/sessions, not every day in its date range.","https://whatson.melbourne.vic.gov.au/things-to-do/reset-a-festival-for-grounding-and-growing","2026-09-10 14:27:09.538612+00","Not confirmed"
"PD-2026-0003","National Gallery of Victoria","Free entry to the NGV Collection","C","C","Collection free but source accessibility page is not an explicit venue service schedule.","https://www.ngv.vic.gov.au/plan-your-visit/access/","2026-08-25 14:30:00+00","Not confirmed"
"PD-2026-0010","Art Gallery of Western Australia","Free gallery entry","B","A","Official site now says daily 10am–5pm; removed outdated Tuesday closure.","https://artgallery.wa.gov.au/plan-your-visit/","2026-09-14T09:35:29.569Z","Daily · 10am–5pm"
"PD-2026-0053","City of Perth / Tourism WA","The Story of Kooyar — free Elizabeth Quay experience","B","B","Existing dated event evidence; source fetch blocked, old timestamp preserved.","https://visitperth.com/events/the-story-of-kooyar","2026-09-10 14:27:09.538612+00","Not confirmed"
"PD-2026-0067","Perth City Farm","Farm After Five","A","A","Existing checked explicit second-Thursday dates; no new verification inferred from blocked fetch.","https://visitperth.com/events/farm-after-five","2026-09-10 14:27:09.538612+00","8 Oct / 12 Nov · 5–8pm"
"PD-2026-0002","Australian Museum","Free general admission","B","A","Added official daily general-entry hours and Christmas closure.","https://australian.museum/visit/admission/","2026-09-14T09:35:30.078Z","Daily · 10am–5pm"
"PD-2026-0035","Barangaroo","Barangaroo HIIT — free weekly outdoor workout","A","A","Explicit Friday 7–8am schedule; existing date range retained.","https://whatson.cityofsydney.nsw.gov.au/events/barangaroo-hiit","2026-09-14T09:35:30.461Z","Fridays · 7–8am"
"PD-2026-0065","Placemaking NSW / Darling Harbour","Culture Alive Festivals — Spring season","B","A","Encoded five actual festival dates and their distinct closing times.","https://whatson.cityofsydney.nsw.gov.au/events/culture-alive-festivals","2026-09-14T09:35:30.360Z","Selected festival dates · see details"
"PD-2026-0071","Sydney Opera House","Wild Things International Kids Festival","C","C","Mix of free and paid performances with separate bookings; no blanket FREE or service claim.","https://www.sydneyoperahouse.com/wild-things","2026-09-10 14:27:09.538612+00","Not confirmed"
"PD-2026-0046","Waverley Council / NSW Department of Education","ARTEXPRESS at Bondi Pavilion","A","A","Explicit exhibition 10am–4pm dates and official source.","https://whatson.cityofsydney.nsw.gov.au/events/artexpress","2026-09-14T09:35:30.621Z","Daily · 10am–4pm · until 25 Oct"
